index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
69,7,16,S12,S2 S7 S4 S12 S6 S11 S2,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
70,8,12,S1,S3 S4 S12 S1 S9 S6 S1,7,-1,"[[-1, -2, 0], [0, -1, 0], [0, -2, -1]]",110010011,
71,8,16,S2,S3 S4 S12 S2 S6 S11 S2,7,-1,"[[1, 2, 0], [0, 1, 0], [0, 2, -1]]",010000011,
72,8,20,S3,S3 S4 S12 S3 S10 S6,6,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"-1,0,1"
73,8,150,S4,S3 S4 S12 S4 S3 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,3,-2"
74,8,75,S5,S3 S4 S12 S5 S10 S12,6,1,"[[3, -2, 0], [2, -1, 0], [2, -2, 1]]",110110110,"1,0,-1"
75,8,44,S6,S3 S4 S12 S6 S12 S3,6,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"-2,1,1"
76,8,9,S7,S3 S4 S12 S7 S9 S4 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
77,8,57,S8,S3 S4 S12 S8 S12 S4 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
78,8,108,S9,S3 S4 S12 S9 S12 S4 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
79,8,157,S10,S3 S4 S12 S10 S12 S4,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-2,3,-1"
80,8,10,S11,S3 S4 S12 S11 S7 S4 S3,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
81,9,13,S1,S1 S4 S9 S1 S8 S12 S2,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
82,9,17,S2,S1 S4 S9 S2 S11 S10 S3,7,-1,"[[1, -2, 0], [0, 1, 0], [2, -2, -1]]",010000111,
83,9,21,S3,S1 S4 S9 S3 S5 S8,6,1,"[[1, 0, 0], [2, -1, 0], [2, 0, -1]]",000110101,"0,0,0"
84,9,149,S4,S1 S4 S9 S4 S8 S1,6,1,"[[-1, 0, 2], [0, 1, 0], [-2, 0, 3]]",101000101,"-1,2,-1"
85,9,73,S5,S1 S4 S9 S5 S8 S7,6,1,"[[1, 0, 0], [0, -1, 0], [2, 0, -1]]",000010101,"0,1,-1"
86,9,45,S6,S1 S4 S9 S6 S5 S8 S1,7,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
87,9,56,S8,S1 S4 S9 S8 S10 S4 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
88,9,158,S10,S1 S4 S9 S10 S8 S4 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
89,9,11,S11,S1 S4 S9 S11 S4 S3,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"0,-1,1"
90,9,10,S12,S1 S4 S9 S12 S7 S4 S3,7,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 4, 1]]",110000100,
91,10,15,S1,S3 S4 S7 S1 S10 S7 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
92,10,18,S2,S3 S4 S7 S2 S7 S5,6,1,"[[-1, 2, -4], [0, 1, -2], [0, 0, -1]]",110001001,"2,-1,-1"
93,10,23,S3,S3 S4 S7 S3 S5 S9,6,1,"[[3, -2, 0], [2, -1, 0], [0, 0, 1]]",110110000,"-1,0,1"
94,10,151,S4,S3 S4 S7 S4 S3 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,1,-1"
95,10,74,S5,S3 S4 S7 S5 S11 S6 S3,7,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
96,10,47,S6,S3 S4 S7 S6 S12 S8 S1,7,-1,"[[1, 2, -4], [0, 1, -2], [0, 0, -1]]",010001001,
97,10,59,S8,S3 S4 S7 S8 S7 S4,6,1,"[[1, 2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,0,-1"
98,10,110,S9,S3 S4 S7 S9 S7 S4 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
99,10,159,S10,S3 S4 S7 S10 S7 S4 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
100,11,14,S1,S3 S4 S1 S2 S5,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
101,11,19,S2,S3 S4 S2 S1 S5,5,-1,"[[-1, -2, 4], [0, -1, 2], [0, -2, 3]]",110011011,
102,11,22,S3,S3 S4 S3 S5,4,1,"[[3, -2, 0], [2, -1, 0], [2, -2, 1]]",110110110,"1,1,-2"
103,11,72,S5,S3 S4 S5 S6 S3,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
104,11,46,S6,S3 S4 S6 S5 S3,5,-1,"[[3, -2, -2], [2, -1, -2], [2, -2, -1]]",111111111,
105,11,109,S9,S3 S4 S9 S11 S4 S1,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"0,1,-1"
