index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
342,45,65,S7,S1 S8 S5 S7 S6 S11 S3,7,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
343,45,131,S11,S1 S8 S5 S11 S4 S7 S3,7,-1,"[[-1, 2, 0], [-2, 1, 2], [-2, 2, 1]]",110101110,
344,45,151,S12,S1 S8 S5 S12 S3 S9,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"1,-1,0"
345,46,72,S4,S3 S5 S4 S6 S3,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
346,46,130,S11,S3 S5 S11 S9 S5 S2,6,1,"[[-1, 0, 2], [0, -1, 2], [0, 0, 1]]",101011000,"1,0,-1"
347,46,150,S12,S3 S5 S12 S3 S10,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
348,47,74,S4,S1 S8 S12 S4 S11 S6 S3,7,-1,"[[-1, 0, 0], [2, -1, -2], [0, 0, -1]]",100111001,
349,47,151,S5,S1 S8 S12 S5 S3 S9,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"1,-1,0"
350,47,67,S7,S1 S8 S12 S7 S11 S8 S1,7,-1,"[[-1, -2, 2], [-2, -1, 2], [-2, -2, 3]]",111111111,
351,47,129,S11,S1 S8 S12 S11 S7 S8 S1,7,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
352,48,49,S1,S1 S5 S10 S1 S6 S9 S3,7,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
353,48,50,S2,S1 S5 S10 S2 S11 S6,6,1,"[[1, 0, 0], [0, -1, -2], [0, 0, -1]]",000011001,"2,-2,0"
354,48,51,S3,S1 S5 S10 S3 S10 S12 S1,7,-1,"[[1, 0, 0], [2, 3, -4], [2, 2, -3]]",000110110,
355,48,69,S4,S1 S5 S10 S4 S10 S6 S1,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
356,48,56,S5,S1 S5 S10 S5 S10 S4 S1,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
357,48,55,S6,S1 S5 S10 S6 S10 S1,6,1,"[[1, 0, 0], [0, 3, -2], [0, 2, -1]]",000011011,"1,-2,1"
358,48,162,S9,S1 S5 S10 S9 S8 S5 S1,7,-1,"[[1, 2, -2], [0, -1, 2], [0, 0, 1]]",011011000,
359,48,146,S11,S1 S5 S10 S11 S10 S5,6,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"2,-3,1"
360,48,122,S12,S1 S5 S10 S12 S10 S5 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
361,49,51,S2,S3 S9 S6 S2 S10 S12 S1,7,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
362,49,50,S3,S3 S9 S6 S3 S11 S6,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
363,49,70,S4,S3 S9 S6 S4 S9 S7 S2,7,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
364,49,58,S5,S3 S9 S6 S5 S8 S4 S3,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
365,49,160,S9,S3 S9 S6 S9 S3 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
366,49,117,S10,S3 S9 S6 S10 S5 S8 S3,7,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
367,49,147,S11,S3 S9 S6 S11 S6 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
368,49,123,S12,S3 S9 S6 S12 S6 S9 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
369,50,51,S1,S6 S11 S1 S10 S12 S1,6,1,"[[1, 0, 0], [2, 1, -2], [0, 0, 1]]",000101000,"-1,1,0"
370,50,71,S4,S6 S11 S4 S12 S8 S2,6,1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, -1]]",100100001,"1,-1,0"
371,50,59,S5,S6 S11 S5 S7 S4,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
372,50,54,S6,S6 S11 S6 S1 S10 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,1,-1"
373,50,163,S9,S6 S11 S9 S2 S5 S1,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"0,1,-1"
374,50,119,S10,S6 S11 S10 S12 S8 S3,6,1,"[[1, 0, -2], [2, -1, -2], [0, 0, -1]]",001111001,"0,-1,1"
375,50,121,S12,S6 S11 S12 S7 S6,5,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
376,51,68,S4,S1 S12 S10 S4 S12 S2,6,1,"[[-1, 0, 0], [0, 1, -2], [0, 0, -1]]",100001001,"1,-1,0"
377,51,57,S5,S1 S12 S10 S5 S12 S4 S2,7,-1,"[[-1, 0, 0], [-2, 3, -2], [-2, 2, -1]]",100111111,
378,51,52,S6,S1 S12 S10 S6 S3 S10 S1,7,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
379,51,161,S9,S1 S12 S10 S9 S8 S12 S1,7,-1,"[[-1, -2, 2], [-2, -1, 2], [-2, -2, 3]]",111111111,
380,51,145,S11,S1 S12 S10 S11 S6 S8,6,1,"[[1, 0, 0], [2, -3, 2], [2, -2, 1]]",000101110,"2,-2,0"
381,51,120,S12,S1 S12 S10 S12 S6 S2,6,1,"[[-1, 0, 0], [-2, 1, -2], [-2, 0, -1]]",100101101,"3,-2,-1"
382,52,53,S1,S1 S10 S3 S1 S9 S3,6,1,"[[1, 0, 0], [0, 1, 0], [0, 2, 1]]",000000010,"0,1,-1"
383,52,54,S2,S1 S10 S3 S2 S1 S10 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
384,52,57,S4,S1 S10 S3 S4 S12 S4 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
385,52,68,S5,S1 S10 S3 S5 S12 S2,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"1,0,-1"
386,52,150,S9,S1 S10 S3 S9 S3 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,1,-1"
387,52,102,S10,S1 S10 S3 S10 S1 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 2, 1]]",000000010,"0,0,0"
388,52,166,S11,S1 S10 S3 S11 S7 S5 S2,7,-1,"[[-1, 2, -2], [0, 1, -2], [0, 2, -3]]",111001010,
389,52,142,S12,S1 S10 S3 S12 S5 S2,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"1,0,-1"
390,53,55,S2,S3 S9 S2 S10 S1,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
391,53,54,S3,S3 S9 S3 S1 S10 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,1,-1"
392,53,58,S4,S3 S9 S4 S8 S4 S3,6,1,"[[1, -2, 0], [0, 1, 0], [0, -2, 1]]",010000010,"1,-2,1"
393,53,70,S5,S3 S9 S5 S9 S7 S2,6,1,"[[1, -2, 2], [2, -3, 2], [0, 0, 1]]",011101000,"0,-1,1"
394,53,101,S10,S3 S9 S10 S8 S3,5,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
395,53,167,S11,S3 S9 S11 S2 S4 S1,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"1,0,-1"
396,53,143,S12,S3 S9 S12 S5 S9 S2,6,1,"[[-1, 0, 0], [0, -1, 0], [0, 0, 1]]",100010000,"1,0,-1"
397,54,59,S4,S1 S10 S1 S4 S7 S4,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
398,54,71,S5,S1 S10 S1 S5 S12 S8 S2,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
399,54,151,S9,S1 S10 S1 S9 S3 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
400,54,103,S10,S1 S10 S1 S10 S1 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
401,54,164,S11,S1 S10 S1 S11 S6 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
402,54,141,S12,S1 S10 S1 S12 S5 S8 S2,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
403,55,56,S4,S1 S10 S4 S10 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
404,55,69,S5,S1 S10 S5 S10 S6 S1,6,1,"[[1, 0, 0], [2, 1, 0], [2, 0, 1]]",000100100,"-1,2,-1"
405,55,149,S9,S1 S10 S9 S8 S1,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
406,56,60,S1,S1 S4 S10 S1 S2 S12 S2,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
407,56,64,S2,S1 S4 S10 S2 S11 S3,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",100000001,"1,-1,0"
408,56,68,S3,S1 S4 S10 S3 S12 S2,6,1,"[[-1, 0, 0], [0, 1, -2], [0, 0, -1]]",100001001,"0,-1,1"
409,56,69,S6,S1 S4 S10 S6 S10 S6 S1,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
410,56,158,S9,S1 S4 S10 S9 S8 S4 S1,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
411,56,156,S11,S1 S4 S10 S11 S3 S12,6,1,"[[-1, 0, 0], [0, 1, -2], [0, 0, -1]]",100001001,"1,-1,0"
412,56,132,S12,S1 S4 S10 S12 S2 S11,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",100000001,"0,-1,1"
413,57,61,S1,S2 S4 S12 S1 S9 S6,6,1,"[[1, 0, 0], [0, -1, 0], [0, -2, -1]]",000010011,"-2,2,0"
414,57,65,S2,S2 S4 S12 S2 S6 S11 S3,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
415,57,69,S3,S2 S4 S12 S3 S10 S6 S1,7,-1,"[[-1, 0, 0], [0, -1, 2], [0, -2, 3]]",100011011,
416,57,68,S6,S2 S4 S12 S6 S12 S2,6,1,"[[1, 0, 0], [0, -1, 2], [0, -2, 3]]",000011011,"-2,1,1"
417,57,157,S9,S2 S4 S12 S9 S12 S4,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"-3,2,1"
418,57,108,S10,S2 S4 S12 S10 S12 S4 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
419,57,159,S11,S2 S4 S12 S11 S7 S4 S2,7,-1,"[[1, -2, 2], [0, 1, 0], [0, 2, -1]]",011000011,
420,58,62,S1,S3 S4 S8 S1 S8 S5,6,1,"[[-1, -2, 0], [0, -1, 0], [0, -2, 1]]",110010010,"-1,2,-1"
421,58,67,S2,S3 S4 S8 S2 S11 S8 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
422,58,71,S3,S3 S4 S8 S3 S12 S8 S2,7,-1,"[[-1, -2, 4], [0, -1, 2], [0, -2, 3]]",110011011,
423,58,70,S6,S3 S4 S8 S6 S9 S7 S2,7,-1,"[[1, -4, 2], [0, -1, 0], [0, -2, 1]]",001010010,
424,58,156,S9,S3 S4 S8 S9 S3 S12,6,1,"[[1, 2, -4], [0, 1, -2], [0, 2, -3]]",010001010,"0,1,-1"
425,58,109,S10,S3 S4 S8 S10 S11 S4 S1,7,-1,"[[1, 2, 0], [0, 1, 0], [2, 2, -1]]",010000111,
426,58,158,S11,S3 S4 S8 S11 S8 S4 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
427,58,134,S12,S3 S4 S8 S12 S8 S4 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
428,59,63,S1,S4 S7 S1 S10 S7 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
429,59,66,S2,S4 S7 S2 S7 S5 S3,6,1,"[[-1, 0, 2], [0, 1, -2], [0, 0, -1]]",101001001,"-2,1,1"
430,59,70,S3,S4 S7 S3 S9 S7 S2,6,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"1,-1,0"
431,59,71,S6,S4 S7 S6 S12 S8 S2,6,1,"[[-1, 0, 0], [0, 1, -2], [0, 0, -1]]",100001001,"1,0,-1"
432,59,159,S9,S4 S7 S9 S7 S4 S2,6,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"1,0,-1"
433,59,110,S10,S4 S7 S10 S7 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
434,59,157,S11,S4 S7 S11 S12 S4,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
435,59,133,S12,S4 S7 S12 S11 S4,5,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
436,60,64,S3,S2 S12 S2 S3 S11 S3,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
437,60,63,S4,S2 S12 S2 S4 S10 S7 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
438,60,62,S5,S2 S12 S2 S5 S8 S5,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
439,60,61,S6,S2 S12 S2 S6 S9 S6,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
440,60,147,S9,S2 S12 S2 S9 S6 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
441,60,107,S10,S2 S12 S2 S10 S4 S7 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
442,60,160,S11,S2 S12 S2 S11 S3 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
443,60,136,S12,S2 S12 S2 S12 S2 S12,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
444,61,69,S2,S6 S9 S2 S10 S6 S1,6,1,"[[-1, 0, 0], [-2, -1, 0], [0, 0, 1]]",100110000,"-1,2,-1"
445,61,65,S3,S6 S9 S3 S6 S11 S3,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
446,61,62,S4,S6 S9 S4 S8 S5,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
447,61,63,S5,S6 S9 S5 S10 S7 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [-2, 0, 1]]",100010100,"-1,1,0"
448,61,105,S10,S6 S9 S10 S8 S6,5,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
449,61,163,S11,S6 S9 S11 S2 S5 S1,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"0,1,-1"
450,61,139,S12,S6 S9 S12 S10 S7 S3,6,1,"[[1, -2, 0], [0, -1, 0], [2, -2, -1]]",010010111,"-1,0,1"
451,62,71,S2,S5 S8 S2 S12 S8 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
452,62,67,S3,S5 S8 S3 S11 S8 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"-1,1,0"
453,62,63,S6,S5 S8 S6 S10 S7 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"0,1,-1"
454,62,146,S9,S5 S8 S9 S10 S5,5,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
455,62,106,S10,S5 S8 S10 S9 S5,5,-1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, 1]]",100100000,
456,62,162,S11,S5 S8 S11 S8 S5 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"0,1,-1"
457,62,138,S12,S5 S8 S12 S8 S5 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
458,63,70,S2,S1 S7 S10 S2 S9 S7 S2,7,-1,"[[1, -2, 2], [2, -3, 2], [2, -4, 3]]",011101101,
459,63,66,S3,S1 S7 S10 S3 S7 S5 S3,7,-1,"[[-1, 0, 2], [0, -1, 2], [0, -2, 3]]",101011011,
460,63,145,S9,S1 S7 S10 S9 S6 S8,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"1,-1,0"
461,63,161,S11,S1 S7 S10 S11 S8 S12 S1,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
462,63,137,S12,S1 S7 S10 S12 S9 S6 S2,7,-1,"[[-1, 0, 0], [0, -1, 0], [-2, 0, -1]]",100010101,
463,64,68,S1,S3 S11 S1 S12 S2,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
464,64,67,S4,S3 S11 S4 S11 S8 S1,6,1,"[[1, 2, -2], [0, 1, 0], [2, 2, -3]]",011000110,"-1,0,1"
465,64,66,S5,S3 S11 S5 S7 S5 S3,6,1,"[[1, 0, -2], [0, 1, -2], [0, 0, 1]]",001001000,"-2,1,1"
466,64,167,S9,S3 S11 S9 S2 S4 S1,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"1,0,-1"
467,64,115,S10,S3 S11 S10 S4 S11 S1,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",100000001,"0,1,-1"
468,64,128,S12,S3 S11 S12 S7 S3,5,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
469,65,69,S1,S3 S11 S6 S1 S10 S6 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
470,65,66,S4,S3 S11 S6 S4 S7 S5 S3,7,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
471,65,67,S5,S3 S11 S6 S5 S11 S8 S1,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
472,65,164,S9,S3 S11 S6 S9 S6 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
473,65,113,S10,S3 S11 S6 S10 S6 S11 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
474,65,151,S11,S3 S11 S6 S11 S3 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
475,65,131,S12,S3 S11 S6 S12 S4 S7 S3,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
476,66,70,S1,S3 S5 S7 S1 S9 S7 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
477,66,67,S6,S3 S5 S7 S6 S11 S8 S1,7,-1,"[[1, 2, -4], [0, 1, -2], [0, 0, -1]]",010001001,
478,66,166,S9,S3 S5 S7 S9 S7 S5 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
479,66,114,S10,S3 S5 S7 S10 S7 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
480,66,150,S11,S3 S5 S7 S11 S3 S10,6,1,"[[1, -4, 2], [0, -3, 2], [0, -2, 1]]",001001010,"1,0,-1"
481,66,130,S12,S3 S5 S7 S12 S9 S5 S2,7,-1,"[[1, 0, 2], [2, -1, 2], [0, 0, 1]]",001111000,
482,67,71,S1,S1 S8 S11 S1 S12 S8 S2,7,-1,"[[1, -2, 2], [2, -1, 0], [2, -2, 1]]",011110110,
483,67,165,S9,S1 S8 S11 S9 S11 S10 S1,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
484,67,112,S10,S1 S8 S11 S10 S11 S1,6,1,"[[3, 2, -2], [0, 1, 0], [2, 2, -1]]",111000111,"1,1,-2"
485,67,129,S12,S1 S8 S11 S12 S7 S8 S1,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
486,68,154,S9,S2 S12 S9 S7 S9 S2,6,1,"[[1, 0, 2], [0, 1, 2], [0, 0, 1]]",001001000,"1,1,-2"
487,68,99,S10,S2 S12 S10 S12 S6 S1,6,1,"[[-1, 0, 0], [-2, -1, 0], [-2, -2, 1]]",100110110,"1,0,-1"
488,68,152,S11,S2 S12 S11 S7 S2,5,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
489,69,153,S9,S1 S6 S10 S9 S6 S7,6,1,"[[-1, 0, 0], [0, -1, 2], [0, 0, 1]]",100011000,"0,-1,1"
490,69,155,S11,S1 S6 S10 S11 S7 S10 S2,7,-1,"[[1, -2, 2], [0, 1, -2], [0, 0, -1]]",011001001,
491,69,127,S12,S1 S6 S10 S12 S10 S2,6,1,"[[-1, 0, 0], [2, -1, 0], [2, -2, 1]]",100110110,"2,-3,1"
492,70,97,S10,S2 S7 S9 S10 S7 S6 S1,7,-1,"[[1, 2, -2], [0, 1, -2], [0, 0, -1]]",011001001,
493,70,154,S11,S2 S7 S9 S11 S7 S9 S2,7,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
494,70,126,S12,S2 S7 S9 S12 S9 S2,6,1,"[[3, -2, 2], [2, -1, 2], [0, 0, 1]]",111111000,"1,1,-2"
495,71,155,S9,S2 S8 S12 S9 S7 S10 S2,7,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
496,71,98,S10,S2 S8 S12 S10 S11 S6 S1,7,-1,"[[-1, 0, 0], [-2, -1, 0], [0, 0, -1]]",100110001,
497,71,153,S11,S2 S8 S12 S11 S6 S7,6,1,"[[-1, 0, 0], [0, 1, -2], [0, 0, -1]]",100001001,"-1,1,0"
498,72,96,S1,S3 S6 S1 S6 S1,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
499,72,120,S2,S3 S6 S2 S6 S2,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
500,72,144,S3,S3 S6 S3 S6,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
501,72,73,S7,S3 S6 S7 S8 S7,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
502,72,81,S8,S3 S6 S8 S7 S8,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
503,72,93,S10,S3 S6 S10 S12 S10,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
504,72,75,S12,S3 S6 S12 S10 S12,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
505,73,97,S1,S7 S8 S1 S7 S6 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,0,-1"
506,73,121,S2,S7 S8 S2 S7 S6,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
507,73,145,S3,S7 S8 S3 S6 S8,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
508,73,149,S6,S7 S8 S6 S8 S1,5,-1,"[[-1, -2, 2], [0, 1, 0], [0, 0, 1]]",111000000,
509,73,87,S9,S7 S8 S9 S10 S7,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
510,73,94,S10,S7 S8 S10 S9 S7,5,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
511,73,75,S11,S7 S8 S11 S10 S12,5,-1,"[[1, 0, 0], [-2, 1, 0], [-2, 2, -1]]",000100111,
512,73,74,S12,S7 S8 S12 S11 S6 S3,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",100000001,"0,-1,1"
513,74,99,S1,S3 S6 S11 S1 S12 S6 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [-2, -2, 1]]",100000110,
514,74,122,S2,S3 S6 S11 S2 S10 S5 S2,7,-1,"[[-1, 0, 0], [0, -1, 2], [0, 0, -1]]",100011001,
515,74,147,S3,S3 S6 S11 S3 S6 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
516,74,151,S6,S3 S6 S11 S6 S3 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
517,74,75,S7,S3 S6 S11 S7 S10 S12,6,1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, -1]]",100100001,"1,0,-1"
518,74,83,S8,S3 S6 S11 S8 S7 S10,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",100000001,"1,0,-1"
519,74,86,S9,S3 S6 S11 S9 S1 S4 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
520,74,95,S10,S3 S6 S11 S10 S12 S8,6,1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, -1]]",100100001,"0,1,-1"
521,75,98,S1,S12 S10 S1 S11 S6 S1,6,1,"[[1, 0, 0], [2, 1, 0], [0, 0, 1]]",000100000,"-1,1,0"
522,75,123,S2,S12 S10 S2 S6 S9 S2,6,1,"[[1, 0, 0], [2, 1, 0], [2, 0, 1]]",000100100,"-1,1,0"
523,75,146,S3,S12 S10 S3 S10 S5,5,-1,"[[-1, 2, -2], [-2, 3, -2], [-2, 2, -1]]",111111111,
524,75,150,S6,S12 S10 S6 S3 S10,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
525,75,82,S8,S12 S10 S8 S7 S9,5,-1,"[[1, 0, 0], [2, 1, 0], [2, 0, -1]]",000100101,
526,75,85,S9,S12 S10 S9 S8 S12,5,-1,"[[1, 0, 0], [2, -1, 0], [2, -2, 1]]",000110110,
527,77,101,S1,S8 S1 S8 S3,4,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-2,1,1"
528,77,125,S2,S8 S2 S8 S2,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
529,77,149,S3,S8 S3 S8 S1,4,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"-2,1,1"
530,77,79,S9,S8 S9 S10,3,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
531,77,78,S10,S8 S10 S9,3,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
532,78,127,S2,S9 S2 S10 S2,4,1,"[[1, 0, 0], [0, 1, 0], [2, -2, 1]]",000000110,"2,-1,-1"
533,78,79,S8,S9 S8 S10,3,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
534,78,94,S12,S9 S12 S9 S7,4,1,"[[1, 0, 0], [2, 1, -2], [0, 0, 1]]",000101000,"1,1,-2"
