edge_id,global_curve_status,final_positive_status,basis,hax_membership,geom_support_eps,dark_support_eps,geom_median_px,geom_p95_px,was_old_108_NT,newly_resolved_from_old_NT
64,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.1896551724137931,0.1724137931034483,13.33604985493631,35.24295002708016,True,False
65,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.07936507936507936,0.15873015873015872,27.202941017470888,44.249241627230624,True,False
66,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,29.742446229250014,46.113728750660655,True,False
67,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.1,63.627789042729766,78.36477134314204,True,False
68,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.5238095238095238,0.5238095238095238,3.1622776601683795,11.313708498984761,True,True
69,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.22580645161290322,0.3870967741935484,15.620499351813308,37.58327863366242,True,False
70,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.17073170731707318,0.2682926829268293,8.246211251235321,11.0,True,False
71,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX4,0.24324324324324326,0.43243243243243246,7.0,14.0,True,True
72,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,1.0,True,True
73,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX5,1.0,1.0,1.0,1.989511652961781,False,False
74,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.25,0.4166666666666667,9.0,17.9,True,True
75,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.9949238578680203,1.0,0.0,1.0,True,True
76,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.018518518518518517,0.1574074074074074,57.105155401083856,67.1429138946377,True,False
77,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.03636363636363636,0.05454545454545454,30.59411708155671,45.96566289630805,True,False
78,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.17,20.0,21.213203435596427,True,False
79,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.08695652173913043,0.13043478260869565,22.360679774997898,43.1270879408373,True,False
80,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.6666666666666666,1.0,2.0,3.8,True,True
81,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,1.0,1.0,0.0,0.8999999999999999,True,True
82,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.6666666666666666,1.0,2.23606797749979,3.823606797749979,True,True
83,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX1,1.0,1.0,0.0,1.0,False,False
84,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0684931506849315,0.1506849315068493,27.018512172212592,54.65368741333674,True,False
85,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.4166666666666667,0.5,4.302775637731995,11.265297757460589,True,True
86,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.19718309859154928,0.16901408450704225,12.165525060596439,27.971452309670283,True,False
87,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.43209876543209874,0.5185185185185185,5.656854249492381,13.892443989449804,True,True
88,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,8.246211251235321,11.0,True,False
89,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.9090909090909091,0.8181818181818182,2.23606797749979,3.3839144678161843,True,True
90,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.4,0.55,4.061552812808831,10.052268050859364,True,True
91,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.9032258064516129,1.0,1.0,4.302775637731995,True,True
92,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX3,1.0,1.0,0.0,1.0,True,True
93,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,1.0,True,True
94,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.3333333333333333,0.48484848484848486,5.830951894845301,12.449827584156742,True,False
95,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.01282051282051282,0.11538461538461539,22.78051417267848,25.179356624028344,True,False
96,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.1346153846153846,0.22435897435897437,12.407317850634978,21.195515934211926,True,False
97,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.03571428571428571,0.05357142857142857,21.482295735677425,22.471386956744112,True,False
98,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.1267605633802817,0.6056338028169014,23.08679276123039,46.84600150226383,True,False
99,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.16326530612244897,0.24489795918367346,12.529964086141668,25.143315356948754,True,False
100,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,0.9787234042553191,1.0,2.23606797749979,True,True
101,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX3,0.7058823529411765,0.8823529411764706,1.4142135623730951,5.86476151587624,True,True
102,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,1.1242640687119274,True,True
103,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.42857142857142855,0.5,5.15154392492244,10.36587635601554,True,True
104,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.23684210526315788,0.3157894736842105,6.854101966249685,12.125986609083332,True,False
